"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R21,R4";"R_0402_1005Metric";2;"22.1k";;;
2;"SW2,SW1";"KXT 311 LHS";2;"top-switch";;;
3;"IC1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AS5600-ASOT";;;
4;"R20,R3,R16";"R_0402_1005Metric";3;"100k";;;
5;"R1,R26,R27,R11,R23,R10,R13,R24,R17";"R_0402_1005Metric";9;"10k";;;
6;"D3,D2";"D_SOD-323";2;"D_Schottky_Small";;;
7;"U3";"QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm";1;"ESP32-PICO-V3";;;
8;"C14,C13";"C_0603_1608Metric";2;"3.3pF";;;
9;"D1";"SOT-143";1;"SP0503BAHT";;;
10;"R18,R19";"R_0402_1005Metric";2;"4.7k";;;
11;"R25,R6,R8,R9";"R_0402_1005Metric";4;"1k";;;
12;"C3,C15,C7,C11,C9,C12,C2,C10,C17,C6";"C_0402_1005Metric";10;"0.1uF";;;
13;"U2";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2102N-Axx-xQFN24";;;
14;"L1";"L_0603_1608Metric";1;"0R";;;
15;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768kHz 6pF";;;
16;"R7,R2";"R_0402_1005Metric";2;"5.1k";;;
17;"R22,R5";"R_0402_1005Metric";2;"47.5k";;;
18;"U4";"SOT-25";1;"AP7354-33W5-7";;;
19;"R12";"R_0805_2012Metric";1;"0R";;;
20;"BZ1";"SPKR_PKMCS0909E4000-R1";1;"Buzzer";;;
21;"SW5,SW4,SW3";"EVP-AKE31A";3;"side-switch";;;
22;"J1";"USB4105-GF-A";1;"USB4105-GF-A";;;
23;"U1";"SOT-23-5";1;"MCP73831-2-OT";;;
24;"C1,C5,C8,C4";"C_0402_1005Metric";4;"4.7uF";;;
25;"Q3,Q1";"SOT-563";2;"DMN2004VK-7";;;
26;"E1";"XDCR_2450AT42E0100E";1;"2450AT42E0100E";;;
27;"Q2";"SOT-563";1;"DMP2004VK-7";;;
28;"C16";"C_0402_1005Metric";1;"10uF";;;
29;"R15";"R_0402_1005Metric";1;"10R";;;
